CaWO4_3CaCO3(40mg)_VL_260728
Température four	Temps	TG	
/°C	/s	/mg	
26.19	0	0.0000	
26.19	3	0.0006	
26.18	5	-0.0006	
26.18	8	-0.0033	
26.18	10	-0.0059	
26.17	13	-0.0079	
26.17	15	-0.0098	
26.17	18	-0.0096	
26.16	20	-0.0124	
26.16	23	-0.0161	
26.16	25	-0.0191	
26.15	28	-0.0217	
26.15	30	-0.0232	
26.14	33	-0.0242	
26.14	35	-0.0248	
26.14	38	-0.0264	
26.14	40	-0.0269	
26.13	43	-0.0270	
26.13	45	-0.0274	
26.12	48	-0.0281	
26.12	50	-0.0285	
26.12	53	-0.0282	
26.12	55	-0.0286	
26.11	58	-0.0294	
26.11	60	-0.0292	
26.11	63	-0.0293	
26.10	65	-0.0291	
26.10	68	-0.0296	
26.10	70	-0.0298	
26.10	73	-0.0295	
26.09	75	-0.0296	
26.09	78	-0.0299	
26.09	80	-0.0298	
26.08	83	-0.0295	
26.08	85	-0.0298	
26.08	88	-0.0301	
26.08	90	-0.0301	
26.07	93	-0.0298	
26.07	95	-0.0300	
26.07	98	-0.0302	
26.06	100	-0.0299	
26.06	103	-0.0299	
26.06	105	-0.0303	
26.05	108	-0.0304	
26.05	110	-0.0300	
26.05	113	-0.0301	
26.05	115	-0.0305	
26.05	118	-0.0308	
26.04	120	-0.0306	
26.04	123	-0.0303	
26.04	125	-0.0307	
26.03	128	-0.0312	
26.03	130	-0.0305	
26.03	133	-0.0307	
26.03	135	-0.0311	
26.02	138	-0.0314	
26.02	140	-0.0312	
26.02	143	-0.0310	
26.01	145	-0.0315	
26.01	148	-0.0315	
26.01	150	-0.0314	
26.00	153	-0.0315	
26.00	155	-0.0320	
26.00	158	-0.0319	
25.99	160	-0.0317	
25.99	163	-0.0318	
25.99	165	-0.0322	
25.99	168	-0.0322	
25.98	170	-0.0322	
25.98	173	-0.0321	
25.98	175	-0.0327	
25.97	178	-0.0324	
25.97	180	-0.0321	
25.97	183	-0.0325	
25.96	185	-0.0328	
25.96	188	-0.0327	
25.96	190	-0.0326	
25.95	193	-0.0331	
25.95	195	-0.0331	
25.95	198	-0.0330	
25.95	200	-0.0328	
25.94	203	-0.0333	
25.94	205	-0.0335	
25.94	208	-0.0331	
25.94	210	-0.0328	
25.93	213	-0.0335	
25.93	215	-0.0339	
25.93	218	-0.0334	
25.92	220	-0.0334	
25.92	223	-0.0338	
25.92	225	-0.0340	
25.91	228	-0.0337	
25.91	230	-0.0337	
25.91	233	-0.0342	
25.90	235	-0.0343	
25.90	238	-0.0342	
25.90	240	-0.0342	
25.90	243	-0.0346	
25.89	245	-0.0347	
25.89	248	-0.0346	
25.89	250	-0.0343	
25.89	253	-0.0349	
25.88	255	-0.0350	
25.88	258	-0.0347	
25.88	260	-0.0350	
25.88	263	-0.0352	
25.87	265	-0.0355	
25.87	268	-0.0351	
25.87	270	-0.0355	
25.86	273	-0.0359	
25.86	275	-0.0357	
25.86	278	-0.0355	
25.86	280	-0.0357	
25.86	283	-0.0362	
25.86	285	-0.0357	
25.86	288	-0.0358	
25.85	290	-0.0363	
25.85	293	-0.0366	
25.85	295	-0.0363	
25.84	298	-0.0362	
25.84	300	-0.0368	
25.84	303	-0.0369	
25.84	305	-0.0370	
25.84	308	-0.0367	
25.84	310	-0.0374	
25.83	313	-0.0375	
25.83	315	-0.0374	
25.83	318	-0.0374	
25.83	320	-0.0381	
25.82	323	-0.0383	
25.82	325	-0.0380	
25.82	328	-0.0379	
25.82	330	-0.0385	
25.81	333	-0.0384	
25.81	335	-0.0383	
25.81	338	-0.0384	
25.81	340	-0.0387	
25.81	343	-0.0388	
25.81	345	-0.0386	
25.80	348	-0.0387	
25.80	350	-0.0391	
25.80	353	-0.0393	
